Entity,Code,Year,Other renewables,Biofuels,Solar,Wind,Hydropower,Nuclear,Gas,Oil,Coal,Biomass,Renewables
World,OWID_WRL,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,5556,0.0
World,OWID_WRL,1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,5833,0.0
World,OWID_WRL,1820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,6111,0.0
World,OWID_WRL,1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,6389,0.0
World,OWID_WRL,1840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,6944,0.0
World,OWID_WRL,1850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,7222,0.0
World,OWID_WRL,1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,6944,0.0
World,OWID_WRL,1870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1642.0,6944,0.0
World,OWID_WRL,1880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2542.0,6944,0.0
World,OWID_WRL,1890,0.0,0.0,0.0,0.0,38.88889,0.0,33.0,89.0,3856.0,6667,38.88889
World,OWID_WRL,1900,0.0,0.0,0.0,0.0,47.22222,0.0,64.0,181.0,5728.0,6111,47.22222
World,OWID_WRL,1910,0.0,0.0,0.0,0.0,91.666664,0.0,142.0,397.0,8656.0,6389,91.666664
World,OWID_WRL,1920,0.0,0.0,0.0,0.0,177.77777,0.0,233.0,889.0,9833.0,6944,177.77777
World,OWID_WRL,1930,0.0,0.0,0.0,0.0,363.8889,0.0,603.0,1756.0,10125.0,7222,363.8889
World,OWID_WRL,1940,0.0,0.0,0.0,0.0,533.3333,0.0,875.0,2653.0,11586.0,7222,533.3333
World,OWID_WRL,1950,0.0,0.0,0.0,0.0,925.0,0.0,2092.0,5444.0,12603.0,7500,925.0
World,OWID_WRL,1960,0.0,0.0,0.0,0.0,1913.8889,0.0,4472.0,11097.0,15442.0,8889,1913.8889
World,OWID_WRL,1965,55.949085,9.029861,0.0,0.0,2729.8865,72.469345,6303.8267,17996.53,16140.178,9162,2867.334791
World,OWID_WRL,1966,61.737606,9.209844,0.0,0.0,2909.136,97.70497,6868.8228,19352.656,16324.094,9218,3077.78842
World,OWID_WRL,1967,62.35338,9.383716,0.0,0.0,2973.9692,116.35517,7374.067,20744.31,16060.81,9274,3162.0614659999997
World,OWID_WRL,1968,69.03191,9.5538,0.0,0.0,3132.3052,147.87189,8044.3594,22499.12,16301.146,9331,3358.7627999999995
World,OWID_WRL,1969,72.558716,9.723981,0.0,0.0,3316.9805,175.31134,8833.446,24363.566,16798.734,9387,3574.5745370000004
World,OWID_WRL,1970,80.33795,13.501494,0.0,0.0,3473.4265,223.80801,9614.819,26520.377,17058.607,9444,3791.0739540000004
World,OWID_WRL,1971,87.339066,13.562146,0.0,0.0,3628.942,311.28723,10293.2,28021.105,16965.777,9499,4041.130442
World,OWID_WRL,1972,93.40202,14.82311,0.0,0.0,3798.634,431.79926,10861.724,30139.71,17158.637,9553,4338.65839
World,OWID_WRL,1973,100.24631,14.250557,0.0,0.0,3852.995,578.5737,11377.838,32560.594,17667.85,9608,4546.065567
World,OWID_WRL,1974,106.87296,14.334716,0.0,0.0,4232.1367,756.48175,11659.864,32120.803,17682.05,9663,5109.826126
World,OWID_WRL,1975,108.1472,13.688392,0.0,0.0,4284.3325,1049.4497,11659.741,31746.924,18024.537,9718,5455.617792000001
World,OWID_WRL,1976,120.57106,13.751189,0.0,0.0,4267.3394,1227.7115,12354.144,33782.324,18688.486,9774,5629.373148999999
World,OWID_WRL,1977,127.266624,18.318535,0.0,0.0,4410.859,1528.1375,12759.843,34960.312,19241.3,9830,6084.581659
World,OWID_WRL,1978,135.02682,23.178774,0.0,0.008870971,4773.711,1775.7009,13293.952,36550.02,19457.904,9886,6707.626364971
World,OWID_WRL,1979,144.51552,28.023214,0.0,0.017741943,5012.647,1846.8246,14118.032,37114.258,20363.537,9943,7032.028075943
World,OWID_WRL,1980,153.78857,32.78612,0.0,0.031048333,5120.4688,2020.0956,14236.961,35525.133,20857.61,10000,7327.170138333
World,OWID_WRL,1981,164.9076,29.747923,0.0,0.031048333,5230.6284,2385.6428,14395.873,34268.04,21149.68,10106,7810.957771333
World,OWID_WRL,1982,191.2329,37.556244,0.0,0.054704163,5325.2656,2588.3174,14469.734,33208.07,21385.451,10213,8142.426848163
World,OWID_WRL,1983,211.77058,49.01924,0.008870971,0.09697445,5552.5425,2933.459,14703.833,32956.613,22046.346,10321,8746.897165421
World,OWID_WRL,1984,236.32065,57.806423,0.018661888,0.13234167,5740.62,3559.8567,15902.68,33680.13,23001.078,10430,9594.754776558
World,OWID_WRL,1985,243.15495,68.41009,0.03473722,0.18989833,5852.605,4224.8374,16262.222,33667.098,23987.826,10541,10389.23207555
World,OWID_WRL,1986,263.68542,84.20299,0.04489833,0.4105228,5931.9126,4525.0864,16421.11,34712.902,24258.035,10653,10805.34283113
World,OWID_WRL,1987,282.4433,85.33012,0.031353053,0.57772696,6012.1157,4922.331,17281.895,35404.36,25212.426,10765,11302.829200013
World,OWID_WRL,1988,290.86093,89.560196,0.030149443,0.980478,6204.8037,5366.448,18088.848,36551.46,25967.129,10879,11952.683453443002
World,OWID_WRL,1989,322.35043,95.68924,0.77539134,7.835361,6172.975,5518.996,18888.676,37164.043,26215.674,10995,12118.62142234
World,OWID_WRL,1990,361.19138,106.64288,1.1483465,10.741176,6383.708,5676.7207,19481.125,37676.57,25906.625,11111,12540.1524825
World,OWID_WRL,1991,376.81265,110.728714,1.4942344,12.082573,6531.108,5948.311,19972.84,37663.043,25658.182,11243,12980.5371714
World,OWID_WRL,1992,404.78116,108.79633,1.379965,13.994874,6530.39,5993.4634,20063.484,38147.168,25558.422,11376,13052.805729
World,OWID_WRL,1993,418.23853,114.44431,1.6460894,16.867165,6923.671,6199.8696,20265.482,37961.344,25688.932,11511,13674.7366944
World,OWID_WRL,1994,434.65265,124.175285,1.7652723,21.088448,6967.2666,6316.248,20389.613,38782.055,25788.928,11647,13865.1962553
World,OWID_WRL,1995,454.25476,131.20163,1.8891695,24.46058,7344.2354,6590.213,21104.494,39460.77,25966.357,11785,14546.2545395
World,OWID_WRL,1996,466.32935,125.91322,2.0676155,27.250431,7442.8306,6828.8057,22159.256,40334.64,26584.988,11925,14893.196916500001
World,OWID_WRL,1997,499.9418,130.18306,2.2167242,35.567307,7573.9106,6781.843,22030.393,41453.445,26540.139,12066,15023.6624912
World,OWID_WRL,1998,520.55,133.53989,2.4006376,47.10265,7632.345,6898.552,22433.998,41670.18,26372.479,12209,15234.4901776
World,OWID_WRL,1999,546.14624,135.43088,2.6769266,62.767708,7690.094,7161.0522,23071.902,42383.22,26485.373,12414,15598.1679546
World,OWID_WRL,2000,571.651,132.91783,3.1327264,92.87796,7826.347,7322.6826,23994.258,42978.04,27434.627,12500,15949.609116399999
World,OWID_WRL,2001,593.69916,131.35425,4.1827884,112.75258,7575.7827,7480.557,24316.832,43377.22,27864.945,12500,15898.328478399999
World,OWID_WRL,2002,639.19446,159.00194,5.252374,152.89404,7665.752,7551.0767,25030.172,43676.043,28962.951,12470,16173.171514
World,OWID_WRL,2003,674.7783,178.32689,6.541638,183.53348,7607.18,7350.6562,25729.617,44652.22,31506.16,12329,16001.016508
World,OWID_WRL,2004,729.37866,210.21715,8.563793,246.72266,8116.5034,7635.7695,26721.139,46387.812,33685.52,12160,16947.155163
World,OWID_WRL,2005,789.99854,246.52557,11.99108,299.59247,8336.344,7607.3535,27438.281,46887.754,36183.348,12076,17291.80516
World,OWID_WRL,2006,841.28894,306.51932,16.39757,379.86954,8599.518,7653.7217,28161.41,47388.004,38068.867,11993,17797.31507
World,OWID_WRL,2007,913.1756,397.3358,22.108496,484.96048,8687.896,7450.836,29315.736,47942.97,40231.242,11911,17956.312376
World,OWID_WRL,2008,976.6638,538.46704,35.682663,622.1905,9137.472,7381.6016,30026.16,47537.797,40780.08,11829,18692.077602999998
World,OWID_WRL,2009,1049.1632,610.6535,58.852226,773.0175,9066.387,7232.23,29405.35,46489.17,40144.2,11747,18790.303426
World,OWID_WRL,2010,1173.9039,699.7631,94.12616,961.486,9520.602,7373.091,31593.695,47971.41,41937.48,11667,19822.97216
World,OWID_WRL,2011,1232.3865,735.38153,181.10184,1215.6783,9635.082,7021.4863,32349.238,48312.62,43895.938,11553,20021.11647
World,OWID_WRL,2012,1334.975,762.47174,278.36545,1454.6062,9985.715,6500.3687,33203.004,49113.688,44022.523,11441,20316.502089999998
World,OWID_WRL,2013,1442.059,828.65063,377.72363,1732.0238,10324.202,6512.8066,33741.91,49590.31,44670.625,11330,21217.465659999998
World,OWID_WRL,2014,1560.9077,878.8694,534.40076,1912.321,10535.74,6606.008,33977.36,49934.684,44858.12,11220,22028.24686
World,OWID_WRL,2015,1688.6459,912.97784,689.34564,2238.8726,10447.261,6655.106,34788.023,50964.02,43669.83,11111,22632.20898
World,OWID_WRL,2016,1714.8402,953.7291,879.17914,2575.6694,10746.731,6714.155,35592.57,51992.56,42715.14,11111,23584.30384
World,OWID_WRL,2017,1826.1881,974.0694,1185.5515,3037.927,10834.706,6734.279,36521.11,52866.46,43129.867,11111,24592.721000000005
World,OWID_WRL,2018,1973.996,1049.8936,1523.3044,3358.8267,11084.954,6855.408,38355.83,53405.137,43795.4,11111,25846.3827
World,OWID_WRL,2019,2072.3691,1124.6016,1858.954,3744.7256,11185.189,7071.7817,39058.266,53512.844,43534.613,11111,27057.621
World,OWID_WRL,2020,2182.6973,1073.7583,2243.835,4186.181,11448.027,6776.866,38603.406,48609.645,42233.39,11111,27911.3646
World,OWID_WRL,2021,2335.3115,1142.8717,2771.829,4851.594,11222.36,7037.069,40670.66,51349.656,44564.812,11111,29361.0352
World,OWID_WRL,2022,2413.8076,1199.2067,3448.2373,5487.6,11299.816,6702.3394,39413.043,52969.59,44854.035,11111,30551.007
